#TYPE System.Management.Automation.PSCustomObject
"Hostname","OS Version","AD Status"
"OCONHOU56147B1.STO.COM",,"False"
"OCONHOUB3PYH01.STO.COM",,"False"
"OCONHOUB2LVM01.STO.COM",,"False"
"OCONHOU5RWZP01.STO.COM",,"False"
"OCONHOUCFBS20B.STO.COM",,"False"
"OCONHOUDWVVS01.STO.COM",,"False"
"OCONHOUGTWZP01.STO.COM",,"False"
"OCONHOUHI84T.STO.COM",,"False"
"OCONDA175R9B41.STO.COM",,"False"
"OCONHOUJJVDF91.STO.COM",,"False"
"OCONDAL1K5SG01.STO.COM",,"False"
"OCONDAL1L2F531.STO.COM",,"False"
"OCONDAL5M2F531.STO.COM",,"False"
"OCONDAL71QCV01.STO.COM",,"False"
"OCONDAL230WM01.STO.COM",,"False"
"OCONDALC2P2011.STO.COM",,"False"
"OCONDAL7DSCV01.STO.COM",,"False"
"OCONDAL75SCV01.STO.COM",,"False"
"OCONDALJ0QCV01.STO.COM",,"False"
"OCONDALGESQC.STO.COM",,"False"
"OCONDALCVWCP01.STO.COM",,"False"
"OCONDALJNWZP01.STO.COM",,"False"
"OCONDALHFBS20B.STO.COM",,"False"
"OCONDALHI877.STO.COM",,"False"
"OCONDALTEMP.STO.COM",,"False"
"OCONDALDBXZP01.STO.COM",,"False"
"OCONDALDTQ010B.STO.COM",,"False"
"OCONDALD474VD51.STO.COM",,"False"
"OCONDALF34VT11.STO.COM",,"False"
"OCONDALG71PP41.STO.COM",,"False"
"OCONDALCWVV01.STO.COM",,"False"
"OCONDALCRJ2Q01.STO.COM",,"False"
"OCONHOU3XVVS01.STO.COM",,"False"
"OCONDAL38SCV01.STO.COM",,"False"
"OCONHOU37SCV01.STO.COM",,"False"
"OCONDALDYVVS01.STO.COM",,"False"
"OCONDAL2CSCV01.STO.COM",,"False"
"L-DAL-KTERJAK2.STO.COM",,"False"
"OCONDALFPLOL31.STO.COM",,"False"
"L-LFD-CKIED1859.STO.COM",,"Could not find object."
"TAG2011.STO.COM",,"Could not find object."
"L-LFD-BVAST2010.STO.COM",,"Could not find object."
"L-DAL-GBURKET.STO.COM",,"False"
"L-DAL-KNGUYEN1.STO.COM",,"False"
"L-DAL-LAYERS1.STO.COM",,"False"
"L-DAL-TDANIELS.STO.COM",,"False"
"L-DAL-SRUGEN.STO.COM",,"False"
"L-AUS-RMCGOVERN.STO.COM",,"False"
"L-LFD-ALUPI2007.STO.COM",,"Could not find object."
"PMGMJ032GJG.STO.COM",,"False"
"TAG2005.STO.COM",,"Could not find object."
"L-LFD-CSANT1997.STO.COM",,"Could not find object."
"L-SAN-DDMITRZAK.STO.COM",,"False"
"TAG1996.STO.COM",,"Could not find object."
"L-DAL-CHECKSEC.STO.COM",,"False"
"D-DAL-AJIM2.STO.COM",,"Could not find object."
"D-LFD-DANTE1849.STO.COM",,"Could not find object."
"L-LFD-AXABM1992.STO.COM",,"Could not find object."
"L-DAL-RSCHOOLC3.STO.COM",,"False"
"L-LFD-DNANC1991.STO.COM",,"Could not find object."
"L-SAN-MJONES3.STO.COM",,"False"
"L-LFD-JRAPC1983.STO.COM",,"Could not find object."
"L-DAL-KSCACCIA3.STO.COM",,"False"
"L-DAL-JJEONG1.STO.COM",,"False"
